,summary_text
0,<sos> 섬 역 골목 위치 맛 집 인 앤드 생각 양이 크림 곳 <end>
1,<sos> 섬 역 골목 위치 맛 집 인 앤드 생각 양이 크림 곳 <end>
2,<sos> 섬 역 골목 위치 맛 집 인 앤드 생각 양이 크림 곳 <end>
3,<sos> 분위기 맛 시저 샐러드 맛 일품 <end>
4,<sos> 분위기 맛 시저 샐러드 맛 일품 <end>
5,<sos> 분위기 맛 시저 샐러드 맛 일품 <end>
6,<sos> 양 과점 곳 군자 점 마카롱 판매 송 파 점 클래스 위주 진행 예약판매 마카롱 얼 그레이 마카롱 얼 그레이 맛 풍부 <end>
7,<sos> 양 과점 곳 군자 점 마카롱 판매 송 파 점 클래스 위주 진행 예약판매 마카롱 얼 그레이 마카롱 얼 그레이 맛 풍부 <end>
8,<sos> 양 과점 곳 군자 점 마카롱 판매 송 파 점 클래스 위주 진행 예약판매 마카롱 얼 그레이 마카롱 얼 그레이 맛 풍부 <end>
9,<sos> 생과일 주스 종류 분위기 <end>
10,<sos> 생과일 주스 종류 분위기 <end>
11,<sos> 생과일 주스 종류 분위기 <end>
12,<sos> 저렴 담 방문 예정 <end>
13,<sos> 저렴 담 방문 예정 <end>
14,<sos> 저렴 담 방문 예정 <end>
15,<sos> 초콜릿 공장 초콜릿 강 베스트 초콜릿 음료 생각 성비 인생 성비 단언 정도 가치 순식간 사진 잔 초콜릿 예의 생각 초콜릿 공장 초콜릿 강 풍부 향 식 감 강 도달 때 감동 선사 초콜릿 공장 강 상상 초콜릿 매장 화이트 톤 깔끔 앞쪽 한산 연 파크 채광 풍경 예스 키즈 존 점 마음 동시 룰 엄격 주말 시간 이용 인 주문 방문 고려 <end>
16,<sos> 초콜릿 공장 초콜릿 강 베스트 초콜릿 음료 생각 성비 인생 성비 단언 정도 가치 순식간 사진 잔 초콜릿 예의 생각 초콜릿 공장 초콜릿 강 풍부 향 식 감 강 도달 때 감동 선사 초콜릿 공장 강 상상 초콜릿 매장 화이트 톤 깔끔 앞쪽 한산 연 파크 채광 풍경 예스 키즈 존 점 마음 동시 룰 엄격 주말 시간 이용 인 주문 방문 고려 <end>
17,<sos> 초콜릿 공장 초콜릿 강 베스트 초콜릿 음료 생각 성비 인생 성비 단언 정도 가치 순식간 사진 잔 초콜릿 예의 생각 초콜릿 공장 초콜릿 강 풍부 향 식 감 강 도달 때 감동 선사 초콜릿 공장 강 상상 초콜릿 매장 화이트 톤 깔끔 앞쪽 한산 연 파크 채광 풍경 예스 키즈 존 점 마음 동시 룰 엄격 주말 시간 이용 인 주문 방문 고려 <end>
18,<sos> 사장님 친절 동네 카페 편안 분위기 커피 가격 저렴 <end>
19,<sos> 사장님 친절 동네 카페 편안 분위기 커피 가격 저렴 <end>
20,<sos> 사장님 친절 동네 카페 편안 분위기 커피 가격 저렴 <end>
21,<sos> 동대문 다문화 거리 베트남 카페 예 베트남 운영 카페 느낌 커피 마 시기 코코넛 커피 연유 커피 하면서 고소 맛 시원 특색 손님 베트남 분 이국적 느낌 <end>
22,<sos> 동대문 다문화 거리 베트남 카페 예 베트남 운영 카페 느낌 커피 마 시기 코코넛 커피 연유 커피 하면서 고소 맛 시원 특색 손님 베트남 분 이국적 느낌 <end>
23,<sos> 동대문 다문화 거리 베트남 카페 예 베트남 운영 카페 느낌 커피 마 시기 코코넛 커피 연유 커피 하면서 고소 맛 시원 특색 손님 베트남 분 이국적 느낌 <end>
24,<sos> 큐브 라 떼 여자 분 감성 인테리어 좌석 합 정상 수 카페 <end>
25,<sos> 큐브 라 떼 여자 분 감성 인테리어 좌석 합 정상 수 카페 <end>
26,<sos> 큐브 라 떼 여자 분 감성 인테리어 좌석 합 정상 수 카페 <end>
27,<sos> 층 왼쪽 카페 뜻 플라워 건물 일 건물 자체 디자인 사이즈 아담 창 양재 근린 공원 나무 오렌지 슈페너 오렌지 조각 나무 숟가락 테이블 대리석 스탈 의자 철제 스탈 직장인 분 혼자 책 조용 선호 분 입구 책 집 안보 책 책 교환 <end>
28,<sos> 층 왼쪽 카페 뜻 플라워 건물 일 건물 자체 디자인 사이즈 아담 창 양재 근린 공원 나무 오렌지 슈페너 오렌지 조각 나무 숟가락 테이블 대리석 스탈 의자 철제 스탈 직장인 분 혼자 책 조용 선호 분 입구 책 집 안보 책 책 교환 <end>
29,<sos> 층 왼쪽 카페 뜻 플라워 건물 일 건물 자체 디자인 사이즈 아담 창 양재 근린 공원 나무 오렌지 슈페너 오렌지 조각 나무 숟가락 테이블 대리석 스탈 의자 철제 스탈 직장인 분 혼자 책 조용 선호 분 입구 책 집 안보 책 책 교환 <end>
30,<sos> 간이 전체적 심심 해산물 짭조름 나름 <end>
31,<sos> 간이 전체적 심심 해산물 짭조름 나름 <end>
32,<sos> 간이 전체적 심심 해산물 짭조름 나름 <end>
33,<sos> 한옥 뷰 뷰 곳 사람 때 <end>
34,<sos> 한옥 뷰 뷰 곳 사람 때 <end>
35,<sos> 한옥 뷰 뷰 곳 사람 때 <end>
36,<sos> 사람 곳 오픈 시간 주문 경쟁 의외 가게 경쟁적 빵 메뉴 빵 뉴 메뉴 정도 딱딱 때 거절 속 재료 집 필요 맛 빵집 기본 생각 크런치 식 감 위주 맛 특별 인상적 생각 층 제대 먹 부스러기 기 굉장 입구 서 다 소세지 빵 만족 비슷 크런치 식 감 베이스 소세지 싸구려 육즙 소세지 치즈 맛 느끼 감 집 빵 커피 가게 검색 개별 운영 중인 카페 빵 코너 가게 인줄 일반 아메리카 노 가격대 가향 정도 향이 남 계열 커피 계열 탄 맛 계열 신맛 향 장점 함 단 계열 빵 주변 손님 빵 위주 다음 주력 메뉴인 식빵 미니 쿠키 류 <end>
37,<sos> 사람 곳 오픈 시간 주문 경쟁 의외 가게 경쟁적 빵 메뉴 빵 뉴 메뉴 정도 딱딱 때 거절 속 재료 집 필요 맛 빵집 기본 생각 크런치 식 감 위주 맛 특별 인상적 생각 층 제대 먹 부스러기 기 굉장 입구 서 다 소세지 빵 만족 비슷 크런치 식 감 베이스 소세지 싸구려 육즙 소세지 치즈 맛 느끼 감 집 빵 커피 가게 검색 개별 운영 중인 카페 빵 코너 가게 인줄 일반 아메리카 노 가격대 가향 정도 향이 남 계열 커피 계열 탄 맛 계열 신맛 향 장점 함 단 계열 빵 주변 손님 빵 위주 다음 주력 메뉴인 식빵 미니 쿠키 류 <end>
38,<sos> 사람 곳 오픈 시간 주문 경쟁 의외 가게 경쟁적 빵 메뉴 빵 뉴 메뉴 정도 딱딱 때 거절 속 재료 집 필요 맛 빵집 기본 생각 크런치 식 감 위주 맛 특별 인상적 생각 층 제대 먹 부스러기 기 굉장 입구 서 다 소세지 빵 만족 비슷 크런치 식 감 베이스 소세지 싸구려 육즙 소세지 치즈 맛 느끼 감 집 빵 커피 가게 검색 개별 운영 중인 카페 빵 코너 가게 인줄 일반 아메리카 노 가격대 가향 정도 향이 남 계열 커피 계열 탄 맛 계열 신맛 향 장점 함 단 계열 빵 주변 손님 빵 위주 다음 주력 메뉴인 식빵 미니 쿠키 류 <end>
39,<sos> 가격 커피 보통 자리 불편 전체적 테이블 배치 못 공간 테이블 흠 <end>
40,<sos> 가격 커피 보통 자리 불편 전체적 테이블 배치 못 공간 테이블 흠 <end>
41,<sos> 가격 커피 보통 자리 불편 전체적 테이블 배치 못 공간 테이블 흠 <end>
42,<sos> 성비 카페 음료 양 카페 지가 얼마 오랜만 음료 여유 플랫폼 카페 근처 가게 내부 공간 좌석 다양 기 카페 주변 랜 차 이즈 카페 공간 답답 느낌 아메리카 노 한잔 카페 저렴 크기 사이즈 주문 키오스 크기 직원 옆 상주 불편 점 <end>
43,<sos> 성비 카페 음료 양 카페 지가 얼마 오랜만 음료 여유 플랫폼 카페 근처 가게 내부 공간 좌석 다양 기 카페 주변 랜 차 이즈 카페 공간 답답 느낌 아메리카 노 한잔 카페 저렴 크기 사이즈 주문 키오스 크기 직원 옆 상주 불편 점 <end>
44,<sos> 성비 카페 음료 양 카페 지가 얼마 오랜만 음료 여유 플랫폼 카페 근처 가게 내부 공간 좌석 다양 기 카페 주변 랜 차 이즈 카페 공간 답답 느낌 아메리카 노 한잔 카페 저렴 크기 사이즈 주문 키오스 크기 직원 옆 상주 불편 점 <end>
45,<sos> 카페 조용 분위기 잔잔 음악 위주 혼자 공부 신발 테이블 친구 가격 저렴 맛 <end>
46,<sos> 카페 조용 분위기 잔잔 음악 위주 혼자 공부 신발 테이블 친구 가격 저렴 맛 <end>
47,<sos> 카페 조용 분위기 잔잔 음악 위주 혼자 공부 신발 테이블 친구 가격 저렴 맛 <end>
48,<sos> 카페 통유리 볕 테라스 자리 원두 선택 가격대 무난 인테리어 <end>
49,<sos> 카페 통유리 볕 테라스 자리 원두 선택 가격대 무난 인테리어 <end>
50,<sos> 카페 통유리 볕 테라스 자리 원두 선택 가격대 무난 인테리어 <end>
51,<sos> 메뉴판 옆 카드 원두 선택 가능 블렌드 브라질 에오 피아 커피 맛 자체 로스 보임 밀크 카카오 설명 전체적 메뉴 하나하나 품질 중요 생각 좌석 지하 시간 목적 불편 있음 <end>
